C?digo postal;Estado;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20339;Aguascalientes;;;;
20340;Aguascalientes;;;;
20340;Aguascalientes;;;;
20340;Aguascalientes;;;;
20340;Aguascalientes;;;;
20340;Aguascalientes;;;;
20341;Aguascalientes;;;;
20341;Aguascalientes;;;;
20341;Aguascalientes;;;;
20342;Aguascalientes;;;;
20342;Aguascalientes;;;;
20344;Aguascalientes;;;;
20345;Aguascalientes;;;;
20346;Aguascalientes;;;;
20348;Aguascalientes;;;;
20349;Aguascalientes;;;;
20350;Aguascalientes;;;;
20350;Aguascalientes;;;;
20350;Aguascalientes;;;;
20350;Aguascalientes;;;;
20350;Aguascalientes;;;;
20353;Aguascalientes;;;;
20355;Aguascalientes;;;;
20355;Aguascalientes;;;;
20355;Aguascalientes;;;;
20355;Aguascalientes;;;;
20355;Aguascalientes;;;;
20355;Aguascalientes;;;;
20356;Aguascalientes;;;;
20356;Aguascalientes;;;;
20356;Aguascalientes;;;;
20357;Aguascalientes;;;;
20357;Aguascalientes;;;;
20357;Aguascalientes;;;;
20357;Aguascalientes;;;;
20357;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20358;Aguascalientes;;;;
20363;Aguascalientes;;;;
20363;Aguascalientes;;;;
20364;Aguascalientes;;;;
20364;Aguascalientes;;;;
20364;Aguascalientes;;;;
20364;Aguascalientes;;;;
20366;Aguascalientes;;;;
20366;Aguascalientes;;;;
20366;Aguascalientes;;;;
20367;Aguascalientes;;;;
20367;Aguascalientes;;;;
20367;Aguascalientes;;;;
20369;Aguascalientes;;;;
20369;Aguascalientes;;;;
20370;Aguascalientes;;;;
20370;Aguascalientes;;;;
20371;Aguascalientes;;;;
20371;Aguascalientes;;;;
20372;Aguascalientes;;;;
20372;Aguascalientes;;;;
20372;Aguascalientes;;;;
20373;Aguascalientes;;;;
20373;Aguascalientes;;;;
20375;Aguascalientes;;;;
20375;Aguascalientes;;;;
20375;Aguascalientes;;;;
20376;Aguascalientes;;;;
20377;Aguascalientes;;;;
20377;Aguascalientes;;;;
20379;Aguascalientes;;;;
20384;Aguascalientes;;;;
20384;Aguascalientes;;;;
20384;Aguascalientes;;;;
20385;Aguascalientes;;;;
20386;Aguascalientes;;;;
20386;Aguascalientes;;;;
20389;Aguascalientes;;;;
20389;Aguascalientes;;;;
20389;Aguascalientes;;;;
20390;Aguascalientes;;;;
20390;Aguascalientes;;;;
20391;Aguascalientes;;;;
20392;Aguascalientes;;;;
20392;Aguascalientes;;;;
20392;Aguascalientes;;;;
20392;Aguascalientes;;;;
20394;Aguascalientes;;;;
20394;Aguascalientes;;;;
20395;Aguascalientes;;;;
20395;Aguascalientes;;;;
20396;Aguascalientes;;;;
20396;Aguascalientes;;;;
20396;Aguascalientes;;;;
20399;Aguascalientes;;;;
20400;Aguascalientes;;;;
20403;Aguascalientes;;;;
20403;Aguascalientes;;;;
20403;Aguascalientes;;;;
20403;Aguascalientes;;;;
20403;Aguascalientes;;;;
20404;Aguascalientes;;;;
20404;Aguascalientes;;;;
20404;Aguascalientes;;;;
20404;Aguascalientes;;;;
20405;Aguascalientes;;;;
20405;Aguascalientes;;;;
20405;Aguascalientes;;;;
20406;Aguascalientes;;;;
20406;Aguascalientes;;;;
20406;Aguascalientes;;;;
20406;Aguascalientes;;;;
